学生学号  总评成绩成绩等级
B15040811     54.7        E         
B15040808     63.4        D         
B15040812     68.1        D         
B15040806     71.9        C         
B15040801     75.4        C         
B15040813     76.0        C         
B15040807     76.1        C         
B15040814     78.2        C         
B15040803     78.8        C         
B15040804     80.5        B         
B15040815     80.5        B         
B15040802     81.6        B         
B15040805     85.8        B         
B15040809     88.1        B         
B15040810     91.5        A         
