B15040801     88    		75.5  			66
B15040802     91    		79.5  			76
B15040803     85    		75  			77
B15040804     79    		82    			80.5
B15040805     94    		83.5  			81.5
B15040806     80    		69    			68
B15040807     82    		77    			71
B15040808     77    		57    			58
B15040809     91    		88    			86
B15040810     96    		89    			90
B15040811     70    		45.5   			50
B15040812     74    		65    			66
B15040813     81    		71    			76
B15040814     83    		75    			77
B15040815     85    		78    			79
