ID          Overall Score   Score Rank
B15040801   75.45           C         
B15040802   81.55           B         
B15040803   78.8            C         
B15040804   80.5            B         
B15040805   85.85           B         
B15040806   71.9            C         
B15040807   76.1            C         
B15040808   63.4            D         
B15040809   88.1            B         
B15040810   91.5            A         
B15040811   54.65           E         
B15040812   68.1            D         
B15040813   76              C         
B15040814   78.2            C         
B15040815   80.5            B         
